NVDA
  2025-05: mean_close=573.997733, n=21
  2025-06: mean_close=596.650785, n=20
  2025-07: mean_close=623.760500, n=22
  2025-08: mean_close=635.474071, n=21
  2025-09: mean_close=653.716395, n=21
  2025-10: mean_close=669.369643, n=23
  2025-11: mean_close=670.427126, n=19
  2025-12: mean_close=682.334200, n=22
  2026-01: mean_close=690.494500, n=20

AU0
  2024-11: mean_close=613.731429, n=21
  2024-12: mean_close=619.470909, n=22
  2025-01: mean_close=636.743333, n=18
  2025-02: mean_close=680.730000, n=18
  2025-03: mean_close=697.071429, n=21
  2025-04: mean_close=766.481000, n=20
  2025-05: mean_close=772.616842, n=19
  2025-06: mean_close=780.027000, n=20
  2025-07: mean_close=776.922609, n=23
  2025-08: mean_close=779.280952, n=21
  2025-09: mean_close=836.940909, n=22
  2025-10: mean_close=941.326667, n=15
  2025-11: mean_close=936.039000, n=20
  2025-12: mean_close=978.573043, n=23
  2026-01: mean_close=1059.024444, n=18
