symbol,NVDA,MSFT,TSMC,GOOGL,ASML,META,AVGO,ORCL,AMZN,AAPL
NVDA,1.0,0.4828929760084733,0.6231976685537781,0.36328439375902805,0.4800240905634326,0.4403020158798919,0.4702763180557811,0.44891653659749564,0.45507955099471376,0.20639443975325544
MSFT,0.4828929760084733,1.0,0.40257976101944126,0.3327638604957715,0.35476136436692035,0.3651286853276394,0.3096214330870481,0.2985360904575086,0.4190089517933009,0.24602315931202895
TSMC,0.6231976685537781,0.40257976101944126,1.0,0.36967171822959066,0.536285355451184,0.4408524067459205,0.5217226502944124,0.38350476258717014,0.4433051851919505,0.2147979212574555
GOOGL,0.36328439375902805,0.3327638604957715,0.36967171822959066,1.0,0.39969768645060477,0.3826382443544099,0.33769618749031594,0.2210214311427286,0.42215829701926527,0.2591797888203467
ASML,0.4800240905634326,0.35476136436692035,0.536285355451184,0.39969768645060477,1.0,0.35491984730152076,0.37998743970434834,0.27344268720975917,0.3404529595258033,0.2316407148937016
META,0.4403020158798919,0.3651286853276394,0.4408524067459205,0.3826382443544099,0.35491984730152076,1.0,0.36361899624983113,0.21268630219700313,0.5425163238188073,0.24069852082443308
AVGO,0.4702763180557811,0.3096214330870481,0.5217226502944124,0.33769618749031594,0.37998743970434834,0.36361899624983113,1.0,0.32997802179367886,0.328326666064746,0.12221367655552437
ORCL,0.44891653659749564,0.2985360904575086,0.38350476258717014,0.2210214311427286,0.27344268720975917,0.21268630219700313,0.32997802179367886,1.0,0.25715976852675637,0.1250878313033288
AMZN,0.45507955099471376,0.4190089517933009,0.4433051851919505,0.42215829701926527,0.3404529595258033,0.5425163238188073,0.328326666064746,0.25715976852675637,1.0,0.28049127015155106
AAPL,0.20639443975325544,0.24602315931202895,0.2147979212574555,0.2591797888203467,0.2316407148937016,0.24069852082443308,0.12221367655552437,0.1250878313033288,0.28049127015155106,1.0
